time,x,y
1722679776.416202,340.00,"363.00
"
1722679776.521583,345.00,"347.00
"
1722679776.6308029,345.00,"347.00
"
1722679776.733105,330.00,"350.00
"
1722679776.838421,332.00,"352.00
"
1722679776.943041,332.00,"352.00
"
1722679777.048264,335.00,"358.00
"
1722679777.153022,335.00,"358.00
"
1722679777.258502,335.00,"358.00
"
1722679777.361061,337.00,"363.00
"
1722679777.466625,337.00,"363.00
"
1722679777.567497,337.00,"355.00
"
1722679777.671621,337.00,"355.00
"
1722679777.775839,327.00,"356.00
"
1722679777.881335,327.00,"356.00
"
1722679777.985832,327.00,"356.00
"
1722679778.087672,335.00,"361.00
"
1722679778.1929479,335.00,"361.00
"
1722679778.2952802,340.00,"352.00
"
1722679778.398113,340.00,"352.00
"
1722679778.503219,327.00,"347.00
"
1722679778.6081622,337.00,"361.00
"
1722679778.71055,337.00,"361.00
"
1722679778.813132,337.00,"352.00
"
1722679778.915714,337.00,"352.00
"
1722679779.0206661,342.00,"347.00
"
1722679779.1261911,342.00,"347.00
"
1722679779.231668,342.00,"347.00
"
1722679779.333209,327.00,"345.00
"
1722679779.436194,327.00,"345.00
"
1722679779.539825,337.00,"352.00
"
1722679779.644042,337.00,"352.00
"
1722679779.749538,337.00,"352.00
"
1722679779.852736,342.00,"356.00
"
1722679779.953229,342.00,"356.00
"
1722679780.057604,345.00,"356.00
"
1722679780.16028,345.00,"356.00
"
1722679780.26496,332.00,"347.00
"
1722679780.370233,332.00,"347.00
"
1722679780.473346,332.00,"347.00
"
1722679780.578597,323.00,"350.00
"
1722679780.684355,323.00,"350.00
"
1722679780.7895072,332.00,"355.00
"
1722679780.893504,332.00,"355.00
"
1722679780.999508,332.00,"355.00
"
1722679781.10417,332.00,"355.00
"
1722679781.2063758,332.00,"355.00
"
1722679781.309186,327.00,"350.00
"
1722679781.413582,327.00,"350.00
"
1722679781.518708,342.00,"358.00
"
1722679781.6242602,342.00,"358.00
"
1722679781.729147,342.00,"358.00
"
1722679781.83456,332.00,"356.00
"
1722679781.9374568,332.00,"356.00
"
1722679782.0419998,332.00,"352.00
"
1722679782.147167,332.00,"352.00
"
1722679782.2526028,332.00,"352.00
"
1722679782.3545,332.00,"350.00
"
1722679782.455394,332.00,"350.00
"
1722679782.560659,335.00,"361.00
"
1722679782.664139,335.00,"361.00
"
1722679782.7666419,327.00,"352.00
"
1722679782.8673122,327.00,"352.00
"
1722679782.974111,335.00,"350.00
"
1722679783.079065,346.00,"355.00
"
1722679783.184402,346.00,"355.00
"
1722679783.291567,327.00,"356.00
"
1722679783.3970711,327.00,"356.00
"
1722679783.5026171,335.00,"342.00
"
1722679783.6073651,321.00,"352.00
"
1722679783.7089121,321.00,"352.00
"
1722679783.813091,340.00,"356.00
"
1722679783.9177809,340.00,"356.00
"
1722679784.022769,323.00,"345.00
"
1722679784.124406,323.00,"345.00
"
1722679784.225616,323.00,"345.00
"
1722679784.3308039,340.00,"345.00
"
1722679784.433074,340.00,"345.00
"
1722679784.536129,335.00,"356.00
"
1722679784.641377,335.00,"356.00
"
1722679784.744662,330.00,"347.00
"
1722679784.84968,340.00,"355.00
"
1722679784.953856,340.00,"355.00
"
1722679785.057251,330.00,"345.00
"
1722679785.16254,330.00,"345.00
"
1722679785.26561,340.00,"347.00
"
1722679785.370618,340.00,"347.00
"
1722679785.47283,340.00,"347.00
"
1722679785.577325,340.00,"347.00
"
1722679785.6817532,340.00,"347.00
"
1722679785.7870212,325.00,"356.00
"
1722679785.8923259,325.00,"356.00
"
1722679785.9978151,325.00,"350.00
"
1722679786.103061,327.00,"352.00
"
1722679786.208329,327.00,"352.00
"
1722679786.313079,325.00,"352.00
"
1722679786.418313,325.00,"352.00
"
1722679786.523786,327.00,"355.00
"
1722679786.627297,327.00,"355.00
"
1722679786.732705,327.00,"355.00
"
1722679786.8372102,335.00,"355.00
"
1722679786.940352,335.00,"355.00
"
1722679787.045481,327.00,"356.00
"
1722679787.150647,327.00,"356.00
"
